lake,date,satellite_date,scene_id,cloud_cover,ndci,ndwi,valid_pixels,total_pixels,water_pixel_fraction,status,message
Cranberry Lake,2016-07-13,2016-06-30,S2A_MSIL2A_20160630T155412_N0500_R054_T18TWL_20231015T033443.SAFE,27.92,0.0945497399098012,-0.17967363026079514,40.0,89700.0,0.0004459308807134894,ok,
Cranberry Lake,2016-09-27,2016-09-25,S2A_MSIL2A_20160925T154002_N0500_R011_T18TWL_20231001T063252.SAFE,0.0,-0.10021149020776093,0.6265207128977087,2933.0,89700.0,0.03269788182831661,ok,
Cranberry Lake,2017-05-30,2017-05-21,S2B_MSIL2A_20170521T160129_N0500_R054_T18TWL_20230911T163419.SAFE,15.46,0.058277019442428316,-0.05991459439643769,3381.0,89700.0,0.03769230769230769,ok,
Cranberry Lake,2017-06-05,2017-06-02,S2A_MSIL2A_20170602T155131_N0500_R011_T18TWL_20230902T022753.SAFE,28.95,-0.1378764001180338,0.8124383609283437,3305.0,89700.0,0.036845039018952065,ok,
Cranberry Lake,2017-06-12,2017-06-12,S2A_MSIL2A_20170612T153911_N0500_R011_T18TWL_20230906T064145.SAFE,0.02,-0.04801437981882584,0.7102845273176972,3117.0,89700.0,0.034749163879598664,ok,
Cranberry Lake,2017-07-17,2017-07-05,S2A_MSIL2A_20170705T160131_N0500_R054_T18TWL_20230819T070013.SAFE,32.76,0.05321146505070112,-0.07794170674559366,2492.0,89700.0,0.02778149386845039,ok,
Cranberry Lake,2017-08-10,2017-08-09,S2B_MSIL2A_20170809T160129_N0500_R054_T18TWL_20231001T184948.SAFE,0.54,0.04399943629742523,0.11583726222154754,3032.0,89700.0,0.033801560758082494,ok,
Cranberry Lake,2017-10-03,2017-10-03,S2A_MSIL2A_20171003T155051_N0500_R054_T18TWL_20230817T021748.SAFE,19.75,0.19156190069133888,-0.3539611424804201,68.0,89700.0,0.0007580824972129319,ok,
Cranberry Lake,2017-10-04,2017-10-03,S2A_MSIL2A_20171003T155051_N0500_R054_T18TWL_20230817T021748.SAFE,19.75,0.19156190069133888,-0.3539611424804201,68.0,89700.0,0.0007580824972129319,ok,
Cranberry Lake,2018-07-02,2018-07-02,S2B_MSIL2A_20180702T153809_N0500_R011_T18TWL_20230713T130236.SAFE,0.29,-0.10876754890214438,0.8622040770146316,3098.0,89700.0,0.034537346711259756,ok,
Cranberry Lake,2018-09-18,2018-09-05,S2A_MSIL2A_20180905T153901_N0500_R011_T18TWL_20230803T232336.SAFE,13.27,0.10901301135834092,0.19264711080674446,3041.0,89700.0,0.03390189520624303,ok,
Cranberry Lake,2018-10-18,2018-10-18,S2A_MSIL2A_20181018T155241_N0500_R054_T18TWL_20230706T045400.SAFE,0.03,-0.21078093356185887,-0.20721992047913343,4069.0,89700.0,0.047079152731326644,ok,
Greenwood Lake,2018-07-11,2018-07-10,S2A_MSIL2A_20180710T154911_N0500_R054_T18TWL_20230713T203304.SAFE,0.19,0.05943921572442611,0.16336146005362603,25612.0,89698.0,0.28553590938482465,ok,
Lake Hopatcong,2020-07-13,2020-07-09,S2A_MSIL2A_20200709T154911_N0500_R054_T18TWL_20230323T075055.SAFE,29.03,0.02666392247271187,0.20955396192968034,11863.0,89700.0,0.13225195094760311,ok,
Lake Hopatcong,2020-07-20,2020-07-19,S2A_MSIL2A_20200719T154911_N0500_R054_T18TWL_20230324T221126.SAFE,2.37,0.030382836361479523,0.14351195552744644,38014.0,89700.0,0.42379041248606464,ok,
Lake Hopatcong,2020-07-27,2020-07-26,S2A_MSIL2A_20200726T153911_N0500_R011_T18TWL_20230515T132220.SAFE,31.15,0.04677093359069137,0.25957780028838257,6116.0,89700.0,0.06818283166109253,ok,
Lake Hopatcong,2020-08-06,2020-08-05,S2A_MSIL2A_20200805T153911_N0500_R011_T18TWL_20230611T163319.SAFE,7.86,0.07411808586572315,0.5049279518617289,38940.0,89700.0,0.43411371237458196,ok,
Lake Hopatcong,2020-08-13,2020-08-10,S2B_MSIL2A_20200810T153819_N0500_R011_T18TWL_20230611T102202.SAFE,1.61,0.08086408824266944,0.6266205094583365,39107.0,89700.0,0.43597547380156076,ok,
Lake Hopatcong,2020-09-11,2020-09-04,S2A_MSIL2A_20200904T153911_N0500_R011_T18TWL_20230607T122343.SAFE,7.18,0.06579264458325426,0.40569828141961867,37079.0,89700.0,0.4133667781493868,ok,
