lake,date
Cranberry Lake,2016-07-13
Cranberry Lake,2016-09-27
Cranberry Lake,2017-05-30
Cranberry Lake,2017-06-05
Cranberry Lake,2017-06-12
Cranberry Lake,2017-07-17
Cranberry Lake,2017-08-10
Cranberry Lake,2017-10-03
Cranberry Lake,2017-10-04
Cranberry Lake,2018-07-02
Cranberry Lake,2018-09-18
Cranberry Lake,2018-10-18
Greenwood Lake,2018-07-11
Lake Hopatcong,2020-07-13
Lake Hopatcong,2020-07-20
Lake Hopatcong,2020-07-27
Lake Hopatcong,2020-08-06
Lake Hopatcong,2020-08-13
Lake Hopatcong,2020-09-11
Lake Hopatcong,2020-10-22
Lake Hopatcong,2024-10-21
Lake Hopatcong,2024-10-30
Lake Musconetcong,2017-04-26
Lake Musconetcong,2017-07-11
Lake Musconetcong,2017-09-27
Lake Musconetcong,2024-10-21
Lake Musconetcong,2024-10-30
Mirror Lake,2015-06-09
Spruce Run Reservoir,2019-09-17
Spruce Run Reservoir,2019-09-26
Spruce Run Reservoir,2019-10-01
Spruce Run Reservoir,2019-10-10
Spruce Run Reservoir,2019-10-15
Spruce Run Reservoir,2019-10-22
