OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-GA,USGS Georgia Water Science Center,USGS-391214074570201,"FIRST POND SITE 1 CORSON WMA NR DELMONT, NJ","Lake, Reservoir, Impoundment",,02040206,,,,,39.20408889000000,-74.9507111000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,5,feet,2.5,feet,Interpolated from topographic map.,NGVD29,US,34,011,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01367612,Lake Mohawk 2.9 mi upstream of dam near Sparta NJ,"Lake, Reservoir, Impoundment",,02020007,,,,,41.00463889000000,-74.6835000000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,730,feet,5,feet,Interpolated from topographic map.,NAVD88,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01367613,Lake Mohawk 2.2 mi upstream of dam near Sparta NJ,"Lake, Reservoir, Impoundment",,02020007,,,,,41.00930556000000,-74.6750833000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,730,feet,5,feet,Interpolated from topographic map.,NAVD88,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01367614,Lake Mohawk 1.3 mi upstream of dam near Sparta NJ,"Lake, Reservoir, Impoundment",,02020007,,,,,41.01761110000000,-74.6578056000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,730,feet,5,feet,Interpolated from topographic map.,NAVD88,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01367615,Lake Mohawk 1.2 mi upstream of dam near Sparta NJ,"Lake, Reservoir, Impoundment",,02020007,,,,,41.02211110000000,-74.6607500000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,730,feet,5,feet,Interpolated from topographic map.,NAVD88,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01367616,Lake Mohawk 3800 ft upstream of dam at Sparta NJ,"Lake, Reservoir, Impoundment",,02020007,,,,,41.02508330000000,-74.6518888900000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,730,feet,5,feet,Interpolated from topographic map.,NAVD88,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01367617,Lake Mohawk 2200 ft upstream of dam at Sparta NJ,"Lake, Reservoir, Impoundment",,02020007,,,,,41.03100000000000,-74.6534722000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,730.,feet,5,feet,Interpolated from topographic map.,NAVD88,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01367618,Lake Mohawk 2000 ft upstream of dam at Sparta NJ,"Lake, Reservoir, Impoundment",,02020007,,,,,41.02763889000000,-74.6446944000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,730,feet,5,feet,Interpolated from topographic map.,NAVD88,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01367619,Lake Mohawk 600 ft upstream of dam at Sparta NJ,"Lake, Reservoir, Impoundment",,02020007,,,,,41.03208330000000,-74.6453611000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,730,feet,5,feet,Interpolated from topographic map.,NAVD88,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01367623,Lake Saginaw near center near Sparta NJ,"Lake, Reservoir, Impoundment",,02020007,,,,,41.02250000000000,-74.6238888900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01367629,Morris Lake near Sparta NJ,"Lake, Reservoir, Impoundment",,02020007,,,,,41.04311110000000,-74.6073888900000,24000,.1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01367696,Franklin Pond 1500 ft above Dam at Franklin NJ,"Lake, Reservoir, Impoundment",,02020007,,,,,41.10858330000000,-74.5874167000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,530,feet,10,feet,Interpolated from topographic map.,NAVD88,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01367697,Franklin Pond 1200 ft above Dam at Franklin NJ,"Lake, Reservoir, Impoundment",,02020007,,,,,41.10944444000000,-74.5861944000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,535,feet,10,feet,Interpolated from topographic map.,NAVD88,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01376950,Lake Tappan at Old Tappan NJ,"Lake, Reservoir, Impoundment",,02030103,49.0,sq mi,,,41.01833330000000,-74.0011111000000,24000,1,seconds,Interpolated from MAP.,NAD83,0.00,feet,.01,feet,Level or other surveyed method.,NGVD29,US,34,003,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01377450,Woodcliff Lake at Hillsdale NJ,"Lake, Reservoir, Impoundment",,02030103,19.4,sq mi,,,41.01277778000000,-74.0491667000000,24000,1,seconds,Interpolated from MAP.,NAD83,0,feet,.01,feet,Level or other surveyed method.,NGVD29,US,34,003,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01378480,Oradell Reservoir at Oradell NJ,"Lake, Reservoir, Impoundment",,02030103,113,sq mi,,,40.95638889000000,-74.0294444000000,24000,1,seconds,Interpolated from MAP.,NAD83,0,feet,.01,feet,Level or other surveyed method.,NGVD29,US,34,003,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01379825,Bowlby Pond near center at Dover NJ,"Lake, Reservoir, Impoundment",,02030103,,,,,40.89583330000000,-74.5591667000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,027,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01379990,Splitrock Reservoir near Hibernia NJ,"Lake, Reservoir, Impoundment",,02030103,4.92,sq mi,,,40.96333330000000,-74.4597222000000,24000,1,seconds,Interpolated from MAP.,NAD83,835,feet,1,feet,Level or other surveyed method.,NGVD29,US,34,027,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01380079,Mt Hope Lake north cove nr center at Mount Hope NJ,"Lake, Reservoir, Impoundment",,02030103,,,,,40.93388889000000,-74.5288888900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,027,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01380123,Openaka Lake near center near Union Hill NJ,"Lake, Reservoir, Impoundment",,02030103,,,,,40.85583330000000,-74.5277777800000,24000,1,seconds,Interpolated from MAP.,NAD83,671,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,34,027,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01380136,Cedar Lake 1330 ft southwest of dam at Denville NJ,"Lake, Reservoir, Impoundment",,02030103,,,,,40.90888889000000,-74.4744444000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,027,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01380137,Cedar Lake 1000 ft north of dam at Denville NJ,"Lake, Reservoir, Impoundment",,02030103,,,,,40.91277778000000,-74.4716667000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,027,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01380900,Boonton Reservoir at Boonton NJ,"Lake, Reservoir, Impoundment",,02030103,119,sq mi,,,40.89527778000000,-74.3977777800000,24000,1,seconds,Interpolated from MAP.,NAD83,0.00,feet,.01,feet,Level or other surveyed method.,NGVD29,US,34,027,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01382100,Canistear Reservoir near Stockholm NJ,"Lake, Reservoir, Impoundment",,02030103,6.08,sq mi,,,41.11111110000000,-74.4919444000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,037,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01382200,Oak Ridge Reservoir at Oak Ridge NJ,"Lake, Reservoir, Impoundment",,02030103,27.3,sq mi,,,41.04055556000000,-74.5011111000000,24000,1,seconds,Interpolated from MAP.,NAD83,846,feet,1,feet,Level or other surveyed method.,NGVD29,US,34,027,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01382300,Clinton Reservoir near Newfoundland NJ,"Lake, Reservoir, Impoundment",,02030103,10.5,sq mi,,,41.07444444000000,-74.4475000000000,24000,1,seconds,Interpolated from MAP.,NAD83,992,feet,1,feet,Level or other surveyed method.,NGVD29,US,34,031,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01382380,Charlotteburg Re at Charlotteburg NJ,"Lake, Reservoir, Impoundment",,02030103,56.2,sq mi,,,41.02611110000000,-74.4247222000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,031,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01382392,Echo Lake 4800' upstream of dam near  Macopin NJ,"Lake, Reservoir, Impoundment",,02030103,,,,,41.06194444000000,-74.4097222000000,24000,1,seconds,Interpolated from MAP.,NAD83,892,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,34,031,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01382396,Echo Lake 1500' upstream of dam near  Macopin NJ,"Lake, Reservoir, Impoundment",,02030103,,,,,41.05305556000000,-74.4100000000000,24000,1,seconds,Interpolated from MAP.,NAD83,894,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,34,031,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01382400,Echo Lk near Charlotteburg NJ,"Lake, Reservoir, Impoundment",,02030103,4.35,sq mi,,,41.04944444000000,-74.4069444000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,031,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01382995,Greenwood Lk nr mouth of Belcher Ck nr Awosting NJ,"Lake, Reservoir, Impoundment",,02030103,,,,,41.15305556000000,-74.3433333000000,24000,1,seconds,Interpolated from MAP.,NAD83,614,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,34,031,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01382998,Greenwood Lake nr Storms Island near Lakeside NJ,"Lake, Reservoir, Impoundment",,02030103,,,,,41.17861110000000,-74.3288888900000,24000,1,seconds,Interpolated from MAP.,NAD83,614,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,34,031,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01382999,Greenwood Lake nr south end of Fox Is nr Cooper NJ,"Lake, Reservoir, Impoundment",,02030103,,,,,41.16555556000000,-74.3375000000000,24000,1,seconds,Interpolated from MAP.,NAD83,614,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,34,031,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01383000,Greenwood Lake at Awosting NJ,"Lake, Reservoir, Impoundment",,02030103,27.1,sq mi,,,41.16166667000000,-74.3333333000000,24000,1,seconds,Interpolated from MAP.,NAD83,608.86,feet,.01,feet,Level or other surveyed method.,NGVD29,US,34,031,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01383570,Green Turtle Lake near Awosting NJ,"Lake, Reservoir, Impoundment",,02030103,0.50,sq mi,,,41.14277778000000,-74.3297222000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,34,031,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01384002,Monksville Reservoir at Monks NJ,"Lake, Reservoir, Impoundment",,02030103,40.4,sq mi,,,41.12250000000000,-74.2966667000000,24000,1,seconds,Interpolated from MAP.,NAD83,400,feet,5,feet,Interpolated from topographic map.,NGVD29,US,34,031,,,,,,,,,,NWIS
USGS-NJ,USGS New Jersey Water Science Center,USGS-01385550,Upper Mt Glen Lake near center nr Upper Macopin NJ,"Lake, Reservoir, Impoundment",,02030103,,,,,41.07277778000000,-74.3677777800000,24000,1,seconds,Interpolated from MAP.,NAD83,926,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,34,031,,,,,,,,,,NWIS
