lake,date,chl_a,temp,phosphorus,past_chl_a,past_chl_a_previous,target_chl_a_next_week,target_date,target_gap_days,nldas_days,nldas_hours,nldas_air_temp_c,nldas_specific_humidity,nldas_surface_pressure_pa,nldas_wind_speed_ms,nldas_shortwave_wm2,nldas_longwave_wm2,nldas_cape_jkg,nldas_precip_kg_m2,satellite_date,satellite_satellite_date,satellite_scene_id,satellite_cloud_cover,satellite_ndci,satellite_ndwi,satellite_valid_pixels,satellite_total_pixels,satellite_water_pixel_fraction,satellite_status,satellite_message,has_weather,has_satellite,has_land_use
Cranberry Lake,2016-07-13,9.58,25.325294117647054,0.0265666666666666,9.58,12.933333333333332,12.666666666666666,2016-07-19,6.0,7,168.0,22.837081255231606,0.013726704349253443,98120.0095796131,3.245147311744472,264.88815569877625,379.93260919480093,354.4636351098084,34.450399205379654,2016-07-13,2016-06-30,S2A_MSIL2A_20160630T155412_N0500_R054_T18TWL_20231015T033443.SAFE,27.92,0.0945497399098012,-0.1796736302607951,40.0,89700.0,0.0004459308807134,ok,,True,True,False
Cranberry Lake,2016-09-27,9.953333333333331,,0.0102166666666666,9.953333333333331,217.8,4.8999999999999995,2016-10-06,9.0,7,168.0,18.455418613978818,0.008269088195880714,98638.69029017857,3.1178896573408514,192.64280695006963,329.3927311670213,14.345714972842307,12.78359982080292,2016-09-27,2016-09-25,S2A_MSIL2A_20160925T154002_N0500_R011_T18TWL_20231001T063252.SAFE,0.0,-0.1002114902077609,0.6265207128977087,2933.0,89700.0,0.0326978818283166,ok,,True,True,False
Cranberry Lake,2017-05-30,5.98,17.669999999999998,0.0138585714285714,5.98,9.053333333333333,9.675,2017-06-05,6.0,7,168.0,14.882678694952125,0.009667667970504742,97744.06026785714,4.0329575975987195,184.22993774641128,356.896716889881,10.905143356039412,31.94899926299695,2017-05-30,2017-05-21,S2B_MSIL2A_20170521T160129_N0500_R054_T18TWL_20230911T163419.SAFE,15.46,0.0582770194424283,-0.0599145943964376,3381.0,89700.0,0.0376923076923076,ok,,True,True,False
Cranberry Lake,2017-06-05,9.675,20.63111111111111,0.0315999999999999,9.675,5.98,11.79,2017-06-12,7.0,7,168.0,16.07524079822361,0.009144792965214114,98206.0046502976,3.5457691480314986,247.04992312476747,331.901121593657,207.54324862334346,10.40599978157843,2017-06-05,2017-06-02,S2A_MSIL2A_20170602T155131_N0500_R011_T18TWL_20230902T022753.SAFE,28.95,-0.1378764001180338,0.8124383609283437,3305.0,89700.0,0.036845039018952,ok,,True,True,False
Cranberry Lake,2017-06-12,11.79,23.088,32.74,11.79,9.675,11.746666666666664,2017-06-21,9.0,7,168.0,18.182738240559917,0.010458792385179497,98100.49358258929,3.7431530620347373,285.66150750432695,337.6840398879278,255.35772660622993,9.38499973801663,2017-06-12,2017-06-12,S2A_MSIL2A_20170612T153911_N0500_R011_T18TWL_20230906T064145.SAFE,0.02,-0.0480143798188258,0.7102845273176972,3117.0,89700.0,0.0347491638795986,ok,,True,True,False
Cranberry Lake,2017-07-17,14.27,24.464166666666667,13.138333333333334,14.27,11.746666666666664,16.776666666666667,2017-07-25,8.0,7,168.0,23.627857099260627,0.014643653162888084,98327.99079241071,3.2770842500309962,268.607578816868,383.00731150309247,620.3253578501088,29.25739903957583,2017-07-17,2017-07-05,S2A_MSIL2A_20170705T160131_N0500_R054_T18TWL_20230819T070013.SAFE,32.76,0.0532114650507011,-0.0779417067455936,2492.0,89700.0,0.0277814938684503,ok,,True,True,False
Cranberry Lake,2017-08-10,22.51,24.988,37.57875,22.51,16.776666666666667,16.974,2017-08-15,5.0,7,168.0,20.007499222528388,0.011595235278253341,98517.7158203125,3.1716488746502263,244.0839645756142,355.420050121489,257.3459183293439,38.033199226949364,2017-08-10,2017-08-09,S2B_MSIL2A_20170809T160129_N0500_R054_T18TWL_20231001T184948.SAFE,0.54,0.0439994362974252,0.1158372622215475,3032.0,89700.0,0.0338015607580824,ok,,True,True,False
Cranberry Lake,2017-10-03,10.733333333333334,15.292222222222222,10.561666666666666,10.733333333333334,,16.29,2017-10-10,7.0,7,168.0,15.239404841831776,0.0080619774775446,98832.00325520834,3.4950474378984095,188.85690811986015,312.23296774001346,49.29600217947293,0.0757999987399671,2017-10-03,2017-10-03,S2A_MSIL2A_20171003T155051_N0500_R054_T18TWL_20230817T021748.SAFE,19.75,0.1915619006913388,-0.3539611424804201,68.0,89700.0,0.0007580824972129,ok,,True,True,False
Cranberry Lake,2017-10-04,4.95,18.935384615384613,0.0194,4.95,10.733333333333334,16.29,2017-10-10,6.0,7,168.0,14.08946435110912,0.007234367345171443,99052.4871186756,3.780773610604632,191.03753301927023,301.22731272379554,13.804571930939954,0.0757999987399671,2017-10-04,2017-10-03,S2A_MSIL2A_20171003T155051_N0500_R054_T18TWL_20230817T021748.SAFE,19.75,0.1915619006913388,-0.3539611424804201,68.0,89700.0,0.0007580824972129,ok,,True,True,False
Cranberry Lake,2018-07-02,81.82000000000001,24.971,0.025165,81.82000000000001,,8.635,2018-07-09,7.0,7,168.0,22.59809483119422,0.013848145445254357,98412.43191964286,3.586773407693255,282.23206607500714,364.4829088846842,693.5539374195395,18.274399568792433,2018-07-02,2018-07-02,S2B_MSIL2A_20180702T153809_N0500_R011_T18TWL_20230713T130236.SAFE,0.29,-0.1087675489021443,0.8622040770146316,3098.0,89700.0,0.0345373467112597,ok,,True,True,False
Cranberry Lake,2018-09-18,12.565,22.694444444444443,0.0152366666666666,12.565,20.566666666666663,3.77,2018-09-27,9.0,7,168.0,21.12791867937363,0.013961055471251371,98841.9865141369,2.825144532656758,174.57331744900776,381.55397869291755,121.01600601488636,41.82659875229001,2018-09-18,2018-09-05,S2A_MSIL2A_20180905T153901_N0500_R011_T18TWL_20230803T232336.SAFE,13.27,0.1090130113583409,0.1926471108067444,3041.0,89700.0,0.033901895206243,ok,,True,True,False
Cranberry Lake,2018-10-18,5.919999999999999,13.642307692307693,0.0232333333333333,5.919999999999999,,4.426666666666667,2018-10-25,7.0,7,168.0,9.01321491059805,0.006126704239120114,98253.18317522321,5.344496503298172,133.40924975985573,296.3428497314453,9.644952770322561,10.705399807775393,2018-10-18,2018-10-18,S2A_MSIL2A_20181018T155241_N0500_R054_T18TWL_20230706T045400.SAFE,0.03,-0.2107809335618588,-0.2072199204791334,4069.0,89700.0,0.0470791527313266,ok,,True,True,False
Greenwood Lake,2018-07-11,2.74,22.9975,0.0100025,2.74,3.915,4.795,2018-07-18,7.0,7,168.0,22.131428382510254,0.01258913287892933,99036.67378162204,3.4272704256303186,301.9221696285975,357.0273751758394,511.17449830827263,3.695999896124704,2018-07-11,2018-07-10,S2A_MSIL2A_20180710T154911_N0500_R054_T18TWL_20230713T203304.SAFE,0.19,0.0594392157244261,0.163361460053626,25612.0,89698.0,0.2855359093848246,ok,,True,True,False
Lake Hopatcong,2020-07-13,16.5,26.31142857142857,0.024,16.5,7.1,26.0,2020-07-20,7.0,7,168.0,23.45868835449221,0.015121463264915157,97994.23200334821,3.8714364225088107,274.92545361745925,386.7676693144299,646.612221669051,79.09319783456158,2020-07-13,2020-07-09,S2A_MSIL2A_20200709T154911_N0500_R054_T18TWL_20230323T075055.SAFE,29.03,0.0266639224727118,0.2095539619296803,11863.0,89700.0,0.1322519509476031,ok,,True,True,False
Lake Hopatcong,2020-07-20,26.0,26.064,0.025,26.0,16.5,12.5,2020-07-27,7.0,7,168.0,23.784523446219335,0.014569316270007229,98516.26534598214,3.7360665898384804,295.7010975111099,380.0288007827032,670.1726037068736,0.021599999628961,2020-07-20,2020-07-19,S2A_MSIL2A_20200719T154911_N0500_R054_T18TWL_20230324T221126.SAFE,2.37,0.0303828363614795,0.1435119555274464,38014.0,89700.0,0.4237904124860646,ok,,True,True,False
Lake Hopatcong,2020-07-27,12.5,28.107142857142858,0.0383333333333333,12.5,26.0,14.0,2020-08-06,10.0,7,168.0,25.7151190258208,0.015563064454389415,98394.36258370536,3.2922544195205243,288.0070137126105,390.84457433791385,625.0247906489031,43.3777979145525,2020-07-27,2020-07-26,S2A_MSIL2A_20200726T153911_N0500_R011_T18TWL_20230515T132220.SAFE,31.15,0.0467709335906913,0.2595778002883825,6116.0,89700.0,0.0681828316610925,ok,,True,True,False
Lake Hopatcong,2020-08-06,14.0,26.787142857142857,0.0383333333333333,14.0,12.5,33.0,2020-08-13,7.0,7,168.0,23.26750154041111,0.013882871029809785,98161.41573660716,3.5971987906195304,232.32380869079915,387.1928483872187,288.6247754405652,131.06119552697055,2020-08-06,2020-08-05,S2A_MSIL2A_20200805T153911_N0500_R011_T18TWL_20230611T163319.SAFE,7.86,0.0741180858657231,0.5049279518617289,38940.0,89700.0,0.4341137123745819,ok,,True,True,False
Lake Hopatcong,2020-08-13,33.0,26.012,0.055,33.0,14.0,15.5,2020-08-20,7.0,7,168.0,23.897679537818565,0.015291048978854443,98574.98135230654,3.0837711963933394,243.58608415509977,391.71267082577657,987.9672854549827,14.055599480867386,2020-08-13,2020-08-10,S2B_MSIL2A_20200810T153819_N0500_R011_T18TWL_20230611T102202.SAFE,1.61,0.0808640882426694,0.6266205094583365,39107.0,89700.0,0.4359754738015607,ok,,True,True,False
Lake Hopatcong,2020-09-11,76.0,23.692,0.06,76.0,15.5,15.0,2020-09-17,6.0,7,168.0,20.298691776820615,0.011411427522987244,98896.41020275296,3.0610500110012615,213.4251105615071,351.8149915422711,24.685715686707272,20.670799732324667,2020-09-11,2020-09-04,S2A_MSIL2A_20200904T153911_N0500_R011_T18TWL_20230607T122343.SAFE,7.18,0.0657926445832542,0.4056982814196186,37079.0,89700.0,0.4133667781493868,ok,,True,True,False
Lake Hopatcong,2020-10-22,8.7,14.994,0.05,8.7,15.0,11.5,2020-10-28,6.0,7,168.0,13.960473814464773,0.008665950145638899,99066.13764880954,3.6589265944314713,128.06738684858595,325.52404176621206,64.07124095481066,12.157999730115991,2020-10-22,2020-10-17,S2A_MSIL2A_20201017T155251_N0500_R054_T18TWL_20230310T234129.SAFE,0.01,0.0064471537566299,0.6208762699431709,39886.0,89700.0,0.4446934225195095,ok,,True,True,False
Lake Hopatcong,2024-10-21,8.057142857142857,14.524675324675323,0.0208,8.057142857142857,,9.114285714285714,2024-10-30,9.0,7,168.0,9.920714314778667,0.004511224999857485,98941.48688616071,3.5789286002635152,159.11226182324546,273.07446434384303,2.7499405032112483,0.0109999999403953,2024-10-21,2024-10-21,S2B_MSIL2A_20241021T155219_N0511_R054_T18TWL_20241021T202707.SAFE,3.14,0.0082605859712554,0.6967740611571449,40182.0,89700.0,0.4479598662207358,ok,,True,True,False
Lake Hopatcong,2024-10-30,9.114285714285714,13.897333333333332,0.0133333333333333,9.114285714285714,8.057142857142857,12.857142857142858,2024-11-07,8.0,7,168.0,10.911190468924408,0.005214647006054943,99008.38309151786,4.045637848975348,148.17251217152392,288.2210096631731,2.304999990122659,0.0287000008393079,2024-10-30,2024-10-28,S2B_MSIL2A_20241028T154259_N0511_R011_T18TWL_20241028T194754.SAFE,25.27,-0.0170972714481205,0.5518014215725785,33188.0,89700.0,0.3699888517279822,ok,,True,True,False
Lake Musconetcong,2017-04-26,5.59,13.008571428571427,0.0204999999999999,5.59,,8.899999999999999,2017-05-02,6.0,7,168.0,11.526488240559917,0.007554020319643957,98270.52446056546,4.172526108791077,169.97966326986042,332.8801702771869,2.8251429703086615,26.996799223823473,2017-04-26,2017-04-23,S2A_MSIL2A_20170423T155131_N0500_R011_T18TWL_20230921T093356.SAFE,2.05,0.1512220991124395,0.8654462118574957,12245.0,89700.0,0.1365105908584169,ok,,True,True,False
Lake Musconetcong,2017-07-11,16.52,25.88875,0.03215,16.52,5.5,11.0,2017-07-19,8.0,7,168.0,21.691369447254022,0.012760362050141217,98271.14336867559,3.6540614460493694,283.6789071673439,364.70207486833846,236.69791491125667,73.78079829976195,2017-07-11,2017-07-05,S2A_MSIL2A_20170705T160131_N0500_R054_T18TWL_20230819T070013.SAFE,32.76,0.0765557535373415,-0.2158394058692698,2664.0,89700.0,0.0296989966555183,ok,,True,True,False
Lake Musconetcong,2017-09-27,13.435,25.52428571428571,0.0303,13.435,,4.3,2017-10-02,5.0,7,168.0,22.091726829892135,0.012363800169190428,98457.67061941964,3.086528679902841,204.01450383663177,360.93064844040646,128.7459102187838,0.0,2017-09-27,2017-09-25,S2B_MSIL2A_20170925T155119_N0500_R011_T18TWL_20230816T184423.SAFE,0.31,0.0737144477325501,0.3288351534621584,10842.0,89700.0,0.1208695652173913,ok,,True,True,False
Lake Musconetcong,2024-10-21,9.2,14.701333333333334,0.0157142857142857,9.2,,8.7,2024-10-30,9.0,7,168.0,9.920714314778667,0.004511224999857485,98941.48688616071,3.5789286002635152,159.11226182324546,273.07446434384303,2.7499405032112483,0.0109999999403953,2024-10-21,2024-10-21,S2B_MSIL2A_20241021T155219_N0511_R054_T18TWL_20241021T202707.SAFE,3.14,0.0521442319983829,0.7669810165654477,11965.0,89700.0,0.1333890746934225,ok,,True,True,False
Lake Musconetcong,2024-10-30,8.7,13.814666666666666,0.015,8.7,9.2,10.5,2024-11-07,8.0,7,168.0,10.911190468924408,0.005214647006054943,99008.38309151786,4.045637848975348,148.17251217152392,288.2210096631731,2.304999990122659,0.0287000008393079,2024-10-30,2024-10-28,S2B_MSIL2A_20241028T154259_N0511_R011_T18TWL_20241028T194754.SAFE,25.27,0.0445641739785806,0.4644795418284915,12102.0,89700.0,0.1349163879598662,ok,,True,True,False
Mirror Lake,2015-06-09,5.02,21.662,0.208,5.02,,27.39,2015-06-15,6.0,7,168.0,17.759465608142694,0.010839972140577874,101385.98442150296,4.836646778413164,205.2047356480644,368.7770153227307,184.53791350055306,28.681399175868137,2015-06-09,,,,,,,,,no_scene,No earlier scene in lookback window.,True,True,False
Spruce Run Reservoir,2019-09-17,13.35,,0.018,13.35,,10.85,2019-09-26,9.0,7,168.0,20.30410737537205,0.012201430486692514,100346.84319196429,3.3749472644373517,177.71610924459637,371.1257654825846,267.32610973839957,0.0,2019-09-17,2019-09-13,S2A_MSIL2A_20190913T154901_N0500_R054_T18TWL_20230501T181544.SAFE,39.73,,,0.0,89700.0,0.0,no_valid_water_pixels,Scene contained no valid water pixels.,True,True,False
Spruce Run Reservoir,2019-09-26,10.85,,0.024,10.85,13.35,12.7,2019-10-01,5.0,7,168.0,19.40839465913321,0.010219453736984426,99777.80891927084,3.637613175911786,212.46947522390454,334.60784948439823,24.627810762042092,0.0,2019-09-26,2019-09-18,S2B_MSIL2A_20190918T154919_N0500_R054_T18TVL_20230502T234256.SAFE,8.42,-0.0243265556348817,0.5847262137992002,21737.0,89700.0,0.242329988851728,ok,,True,True,False
Spruce Run Reservoir,2019-10-01,12.7,,0.02,12.7,10.85,8.899999999999999,2019-10-10,9.0,7,168.0,18.607738749186222,0.010235484683930473,99962.41150483632,3.3269309382926804,181.34357439478237,346.5560655139742,132.6944827167761,0.0,2019-10-01,2019-09-28,S2B_MSIL2A_20190928T155029_N0500_R054_T18TWK_20230507T040813.SAFE,36.33,0.0099451531996228,0.5570451758413238,38326.0,89700.0,0.4272686733556299,ok,,True,True,False
Spruce Run Reservoir,2019-10-10,8.899999999999999,,0.013,8.899999999999999,12.7,10.9,2019-10-15,5.0,7,168.0,13.633450717017784,0.008140204873468157,100507.51064918155,4.834471025983512,125.01788682597024,336.4440987904867,7.733714761123771,0.0,2019-10-10,2019-09-28,S2B_MSIL2A_20190928T155029_N0500_R054_T18TWK_20230507T040813.SAFE,36.33,0.0099451531996228,0.5570451758413238,38326.0,89700.0,0.4272686733556299,ok,,True,True,False
Spruce Run Reservoir,2019-10-15,10.9,,0.0105,10.9,8.899999999999999,11.7,2019-10-22,7.0,7,168.0,12.840537007649761,0.006831555427717286,100127.40541294643,4.042427623562691,147.375912183807,319.46880376906626,0.0,0.0,2019-10-15,,,,,,,,,no_scene,No earlier scene in lookback window.,True,True,False
Spruce Run Reservoir,2019-10-22,11.7,,,11.7,10.9,12.45,2019-10-29,7.0,7,168.0,10.804763503301734,0.006769919116604329,99322.54245721725,5.007177661890442,119.34438669965381,307.3351706550235,7.151619383976573,6.055399850010872,2019-10-22,,,,,,,,,no_scene,No earlier scene in lookback window.,True,True,False
