lake,n,rmse,tier_acc
Cranberry Lake,46,0.3548995730434052,1.0
Lake Hopatcong,35,1.597872547770124,1.0
Greenwood Lake,31,0.7390054575700071,1.0
Lake Musconetcong,24,0.11733376474988083,0.9583333333333334
Mirror Lake,16,0.14951600705095858,1.0
Echo Lake,13,0.11923880801774332,1.0
Round Valley Reservoir,11,0.6715186490245182,1.0
Swartswood Lake,10,0.08269166852300591,1.0
Packanack Lake,9,4.706091736467498,1.0
Wawayanda Lake,8,11.40297191331015,1.0
Furnace Lake,6,0.04093046099733717,1.0
Union Lake,6,0.11520458805389473,1.0
Deal Lake,6,0.4290988634279642,1.0
Pompton Lake,6,0.2918814293615542,1.0
Budd Lake,5,1.0617442124834156,1.0
Cozy Lake,5,0.1555970244353132,1.0
Carnegie Lake,5,5.214824680182979,1.0
